,종목코드,현재가,종목명,배당률,영업이익,부채비율,ROA,per,psr,pcr,pbr,perRanK,psrRanK,pcrRanK,pbrRanK,totalRank
14,A003240,1166000,태광산업,0.25,677205600000.0,28.459999084472656,7.389999866485596,7.284719323053442,0.41080103736069845,3.0285242307912084,0.4093541998652572,16,21,20,10,67
15,A016590,69900,신대양제지,1.0700000524520874,197030000000.0,47.439998626708984,24.790000915527344,5.432628,0.4191150017987768,2.0739378115357225,0.7164527899635111,10,23,3,39,75
16,A013120,4340,동원개발,4.260000228881836,231036200000.0,24.799999237060547,18.790000915527344,6.482132173226534,0.6031966643502432,2.4245810055865924,0.5342853625507817,13,32,11,25,81
17,A015230,42500,대창단조,2.3499999046325684,40888000000.0,26.290000915527344,7.110000133514404,7.899628252788104,0.26879000227680944,4.27221552070768,0.4811175511682666,18,7,39,20,84
18,A049070,13100,인탑스,1.5199999809265137,118799400000.0,37.349998474121094,5.760000228881836,7.207241787416435,0.2604788037858904,4.334877564526804,0.5305362060586425,15,6,40,23,84
19,A093050,20250,LF,2.4600000381469727,210888600000.0,39.58000183105469,7.349999904632568,10.669225363533164,0.33618328214493237,3.1950142000631114,0.49338498647759665,37,11,22,21,91
20,A067830,3395,세이브존I&C,1.4700000286102295,66446800000.0,32.470001220703125,6.170000076293945,7.968308276621297,0.8294649401417054,3.547544409613375,0.3166682212480179,19,46,25,4,94
21,A224110,7740,에이텍티앤,1.2899999618530273,15709200000.0,31.8700008392334,7.210000038146973,9.997968069666182,0.3494041170097508,2.737884683409975,0.8629724606979596,33,13,17,47,110
22,A161000,7840,애경유화,4.460000038146973,85530400000.0,45.779998779296875,16.360000610351562,11.160191931757597,0.24295010845986983,3.9063278525161933,0.7111756168359942,41,3,30,38,112
23,A017480,4375,삼현철강,3.4200000762939453,21926000000.0,15.34000015258789,5.070000171661377,11.90643739168111,0.2943155062226707,4.441624365482234,0.4655741193998085,48,9,42,16,115
24,A004490,42400,세방전지,1.1699999570846558,213290200000.0,29.059999465942383,10.319999694824219,10.57563826186107,0.5119103673922755,3.609739485782394,0.5793536926965909,35,28,26,30,119
25,A030530,4215,원익홀딩스,0.0,116869000000.0,34.70000076293945,10.829999923706055,10.58553373158836,0.7707076247942951,3.770125223613596,0.4264899322068198,36,42,29,12,119
26,A016090,2465,대현,3.240000009536743,39968400000.0,39.5,8.34000015258789,10.378008571021107,0.37422195233034766,4.53125,0.5724570366929865,34,15,43,29,121
27,A039010,8080,현대통신,3.7100000381469727,29054800000.0,47.900001525878906,25.229999542236328,9.114569709652105,0.5824262956822605,3.145192681977423,0.8724759745167908,25,31,21,49,126
28,A053210,9220,스카이라이프,3.7899999618530273,145027000000.0,22.489999771118164,8.329999923706055,11.552954972356872,0.6323731138545954,2.4811625403659847,0.6543647977288858,45,35,12,35,127
29,A042420,14500,네오위즈홀딩스,2.2699999809265137,60724000000.0,14.390000343322754,6.599999904632568,8.036580538172716,0.5256670533642691,9.409474367293965,0.401528577758086,20,29,70,8,127
