,종목코드,현재가,시가,종목명,총상장주식수,PER,배당률,부채비율,유보율,ROA,순이익증가율,BPS,영업이익,결산년월,분기영업이익,분기ROE,분기유보율,분기부채비율,최근분기년월,SPS,CFPS,per,debt,pbr,roa,psr,pcr,per_rank,pbr_rank,psr_rank,pcr_rank,sum_rank
14,A088910,3480,3520,동우팜투테이블,25831764,4.360000133514404,1.4299999475479126,16.920000076293945,1360.550048828125,10.069999694824219,3.5199999809265137,7416,16969000000,201812,4387000000,9.029999732971191,1383.6400146484375,17.709999084472656,201903,10285,764,5.122779731023479,16.920000076293945,0.4692556634304207,10.069999694824219,0.33835683033543995,4.554973821989528,21,12,7,29,69
15,A016090,2415,2415,대현,44282310,6.949999809265137,3.309999942779541,39.5,589.9500122070312,8.34000015258789,19.8700008392334,4224,17900000000,201812,6140000000,10.270000457763672,595.1900024414062,30.059999465942383,201903,6459,544,4.354306948289902,39.5,0.5717329545454546,8.34000015258789,0.3738968880631677,4.439338235294118,19,23,12,25,79
16,A017890,7880,7600,한국알콜,21605760,5.480000019073486,0.6299999952316284,28.0,2669.030029296875,10.479999542236328,42.43000030517578,14071,28504000000,201812,10703000000,13.300000190734863,2760.510009765625,29.860000610351562,201903,11911,1884,3.9767679342240494,28.0,0.5600170563570465,10.479999542236328,0.6615733355721601,4.182590233545648,16,22,29,22,89
17,A018310,9450,9460,삼목에스폼,14700000,4.980000019073486,1.0499999523162842,13.119999885559082,4802.89013671875,12.119999885559082,12.5600004196167,22717,43748000000,201812,4889000000,5.860000133514404,4852.33984375,14.039999961853027,201903,11918,5104,7.10344651257926,13.119999885559082,0.41598802658801776,12.119999885559082,0.7929182748783353,1.8514890282131662,44,7,38,1,90
18,A092440,3730,3830,기신정기,29200000,7.21999979019165,4.019999980926514,5.179999828338623,1500.2900390625,6.579999923706055,55.689998626708984,8001,10287000000,201903,10287000000,6.579999923706055,1500.2900390625,5.179999828338623,201903,4075,815,2.646933022261106,5.179999828338623,0.46619172603424575,6.579999923706055,0.9153374233128835,4.576687116564417,6,11,44,30,91
19,A039010,8040,7920,현대통신,8625000,4.130000114440918,3.7300000190734863,47.900001525878906,1642.8800048828125,25.229999542236328,11.520000457763672,8934,20095000000,201812,4612000000,23.639999389648438,1686.77001953125,50.5,201903,15280,2569,3.758944058976583,47.900001525878906,0.8999328408327737,25.229999542236328,0.5261780104712042,3.129622421175555,15,45,22,13,95
20,A900310,1430,1490,컬러레이,54000000,2.859999895095825,0.0,6.409999847412109,141.36000061035156,21.940000534057617,11.670000076293945,2626,27855000000,201812,6098000000,14.039999961853027,149.94000244140625,5.0,201903,900,603,3.165792062971466,6.409999847412109,0.5445544554455446,21.940000534057617,1.5888888888888888,2.371475953565506,9,19,64,8,100
21,A049070,15200,14950,인탑스,17200000,8.710000038146973,1.309999942779541,37.349998474121094,4585.7998046875,5.760000228881836,27.610000610351562,23904,34192000000,201812,10963000000,8.59000015258789,4680.7998046875,38.95000076293945,201903,45659,3022,5.961871750433276,37.349998474121094,0.6358768406961178,5.760000228881836,0.3329026040868175,5.029781601588352,32,28,6,35,101
22,A010240,4530,4585,흥국,12322696,7.650000095367432,2.75,43.27000045776367,900.72998046875,14.229999542236328,19.6200008392334,5052,11139000000,201812,2593000000,11.050000190734863,910.3599853515625,41.33000183105469,201903,9223,1220,5.3819719321249515,43.27000045776367,0.8966745843230404,14.229999542236328,0.49116339585818064,3.7131147540983607,24,44,20,18,106
23,A007540,42300,42300,샘표,2875800,8.09000015258789,0.4699999988079071,37.709999084472656,5684.58984375,8.819999694824219,65.76000213623047,53189,19666000000,201812,5461000000,6.480000019073486,5786.68017578125,41.0,201903,95995,9326,5.5688674235488005,37.709999084472656,0.795277218973848,8.819999694824219,0.44064795041408406,4.535706626635213,27,36,18,28,109
24,A052330,12750,12750,코텍,15574552,5.289999961853027,3.130000114440918,12.25,3734.199951171875,12.720000267028809,61.43000030517578,18867,42424000000,201812,8360000000,12.90999984741211,3786.139892578125,17.190000534057617,201903,21699,3214,5.938263696172249,12.25,0.6757831133725553,12.720000267028809,0.5875846813217199,3.9670192906036092,31,31,27,21,110
25,A001130,180000,178000,대한제분,1690000,6.380000114440918,1.3799999952316284,22.790000915527344,8812.419921875,7.050000190734863,0.8299999833106995,447884,32798000000,201812,7782000000,3.619999885559082,8909.83984375,31.950000762939453,201903,517634,37582,9.772552043176562,22.790000915527344,0.40188977503103485,7.050000190734863,0.34773604515932105,4.789526901176095,70,5,9,33,117
26,A053610,18200,18700,프로텍,11000000,4.789999961853027,1.5399999618530273,19.68000030517578,3502.4599609375,16.670000076293945,0.10999999940395355,17873,32129000000,201812,20956000000,40.61000061035156,3813.68994140625,26.350000381469727,201903,20031,4188,2.3883374689826304,19.68000030517578,1.0182957533710066,16.670000076293945,0.9085916828915181,4.345749761222541,2,52,43,24,121
27,A002170,58900,61800,삼양통상,3000000,6.369999885559082,1.2699999809265137,11.850000381469727,1863.75,8.960000038146973,1.4600000381469727,99189,32126000000,201812,8524000000,10.020000457763672,1900.3399658203125,13.479999542236328,201903,62671,12526,5.182426091037072,11.850000381469727,0.5938158465152386,8.960000038146973,0.9398286288714078,4.702219383681942,22,26,45,31,124
28,A084110,26600,27300,휴온스글로벌,10921362,10.130000114440918,1.7899999618530273,24.920000076293945,6966.990234375,8.220000267028809,21.899999618530273,33327,67964000000,201812,17755000000,7.590000152587891,6664.6201171875,29.280000686645508,201903,36238,5113,4.090512942833005,24.920000076293945,0.7981516488132745,8.220000267028809,0.7340360947072134,5.202425190690397,17,37,35,36,125
29,A049430,7780,7770,코메론,9048000,6.019999980926514,1.7899999618530273,11.0,2783.610107421875,9.880000114440918,28.84000015258789,14422,12418000000,201812,2705000000,10.079999923706055,2840.820068359375,12.609999656677246,201903,7535,1967,6.505863216266174,11.0,0.5394536125364027,9.880000114440918,1.0325149303251493,3.955261820030503,38,18,50,20,126
30,A069510,11950,11600,에스텍,10910000,5.889999866485596,4.179999828338623,40.43000030517578,2692.239990234375,15.149999618530273,101.41999816894531,12896,18030000000,201812,4600000000,12.40999984741211,2723.8798828125,40.63999938964844,201903,29142,2828,7.085570652173913,40.43000030517578,0.9266439205955335,15.149999618530273,0.4100610802278498,4.225601131541725,43,46,16,23,128
31,A020000,29750,30250,한섬,24630000,9.550000190734863,1.340000033378601,22.68000030517578,8154.33984375,7.75,38.06999969482422,41014,91982000000,201812,33939000000,10.149999618530273,8283.2001953125,21.139999389648438,201903,52019,4845,5.397496243259966,22.68000030517578,0.7253620714877846,7.75,0.5719064188085122,6.140350877192983,25,33,26,47,131
32,A005930,43900,43800,삼성전자,5969782,8.390000343322754,3.2200000286102295,36.970001220703125,26648.220703125,19.6299991607666,5.119999885559082,36142,58886669000000,201812,6233282000000,8.40999984741211,27253.310546875,36.27000045776367,201903,32943,12009,0.010511052997441797,36.970001220703125,1.2146533119362515,19.6299991607666,1.3326048022341621,3.6555916396036308,0,55,60,17,132
33,A000480,85000,84000,조선내화,4000000,6.309999942779541,4.699999809265137,48.56999969482422,2873.340087890625,9.220000267028809,155.39999389648438,145066,39441000000,201812,8929000000,6.420000076293945,2838.280029296875,50.2400016784668,201903,195755,19023,9.519543061933026,48.56999969482422,0.5859401927398563,9.220000267028809,0.4342162396873643,4.468275245755138,67,24,17,27,135
34,A072710,72500,72100,농심홀딩스,4637790,7.28000020980835,2.75,33.36000061035156,3757.669921875,5.320000171661377,14.920000076293945,194621,41106000000,201812,13620000000,5.550000190734863,3792.419921875,38.880001068115234,201903,115961,5485,6.171802037444934,33.36000061035156,0.3725188956998474,5.320000171661377,0.6252101999810281,13.217866909753875,35,2,28,73,138
35,A036190,29000,30650,금화피에스시,6000000,4.400000095367432,4.480000019073486,18.93000030517578,7248.2900390625,19.690000534057617,92.63999938964844,36534,41384000000,201812,6851000000,11.510000228881836,7206.77001953125,23.270000457763672,201903,38422,6132,6.349438038242592,18.93000030517578,0.7937811353807412,19.690000534057617,0.7547759096351049,4.729288975864319,36,35,36,32,139
36,A005440,10900,11000,현대그린푸드,97704482,10.25,1.9199999570846558,34.400001525878906,3548.6298828125,6.099999904632568,4.739999771118164,17899,137226000000,201812,26913000000,7.5,3631.820068359375,37.25,201903,32744,1933,9.892792087467024,34.400001525878906,0.608972568299905,6.099999904632568,0.33288541412167116,5.638903259182618,73,27,5,41,146
37,A004000,43850,44600,롯데정밀화학,25800000,5.639999866485596,3.869999885559082,23.3799991607666,975.4000244140625,16.719999313354492,140.86000061035156,53313,210714000000,201812,37683000000,11.869999885559082,973.510009765625,27.68000030517578,201903,52812,11639,7.505572804713,23.3799991607666,0.8225010785361919,16.719999313354492,0.8303037188517761,3.7675057994673082,49,40,40,19,148
38,A109860,11550,11650,동일금속,7000000,6.679999828338623,1.9900000095367432,18.5,3184.4599609375,8.930000305175781,148.75,16110,9723000000,201812,3407000000,15.930000305175781,3268.449951171875,19.31999969482422,201903,13701,1845,5.93263868506017,18.5,0.7169459962756052,8.930000305175781,0.8430041602802715,6.260162601626016,30,32,41,48,151
39,A083550,6410,6380,케이엠,10142170,11.729999542236328,0.7699999809265137,48.27000045776367,1499.1099853515625,6.070000171661377,11.350000381469727,7887,5160000000,201812,2319000000,12.729999542236328,1533.739990234375,56.65999984741211,201903,12419,947,7.008549989219492,48.27000045776367,0.8127298085457081,6.070000171661377,0.5161446171189307,6.768743400211193,40,38,21,53,152
40,A039340,4285,4510,한국경제TV,23000000,6.230000019073486,2.3299999237060547,17.950000762939453,859.5499877929688,14.15999984741211,17.690000534057617,4807,15546000000,201812,4203000000,13.890000343322754,873.6799926757812,22.079999923706055,201903,3715,781,5.862181774922674,17.950000762939453,0.8914083628042438,14.15999984741211,1.1534320323014804,5.486555697823303,29,43,54,39,165
41,A004970,12400,12500,신라교역,16000000,4.440000057220459,4.03000020980835,13.970000267028809,6272.4599609375,8.170000076293945,52.38999938964844,31911,7432000000,201812,5054000000,6.769999980926514,6282.1201171875,20.799999237060547,201903,22987,1293,9.814008705975464,13.970000267028809,0.38858074018363575,8.170000076293945,0.5394353330143125,9.590100541376643,72,3,23,67,165
42,A004590,3920,4020,한국가구,15000000,8.15999984741211,2.930000066757202,35.36000061035156,6524.66015625,7.690000057220459,34.970001220703125,6641,8515000000,201812,1903000000,5.329999923706055,6541.2099609375,39.279998779296875,201903,4112,667,7.724645296899632,35.36000061035156,0.5902725493148622,7.690000057220459,0.953307392996109,5.877061469265367,51,25,46,44,166
43,A102710,21300,21100,이엔에프테크놀로,14227836,9.109999656677246,0.46000000834465027,38.560001373291016,3017.0,14.050000190734863,11.550000190734863,16232,35608000000,201812,11931000000,17.049999237060547,3146.3701171875,47.58000183105469,201903,31120,3747,6.350115388483782,38.560001373291016,1.3122227698373583,14.050000190734863,0.6844473007712082,5.684547638110488,37,57,32,42,168
